close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,stock_code,volume
26311.8,2025-12-19 12:42:00,NFO,24-FEB-2026,26314.9,26311.8,26313.0,607945,Futures,NIFTY,195
26311.8,2025-12-19 12:43:00,NFO,24-FEB-2026,26311.8,26311.8,26311.8,607945,Futures,NIFTY,0
26310.0,2025-12-19 12:44:00,NFO,24-FEB-2026,26311.8,26310.0,26311.8,608205,Futures,NIFTY,65
26311.0,2025-12-19 12:45:00,NFO,24-FEB-2026,26311.0,26310.0,26310.0,608205,Futures,NIFTY,65
26311.0,2025-12-19 12:46:00,NFO,24-FEB-2026,26311.0,26311.0,26311.0,608205,Futures,NIFTY,0
26311.0,2025-12-19 12:47:00,NFO,24-FEB-2026,26311.0,26311.0,26311.0,608205,Futures,NIFTY,0
26311.0,2025-12-19 12:48:00,NFO,24-FEB-2026,26311.0,26311.0,26311.0,608270,Futures,NIFTY,65
26311.0,2025-12-19 12:49:00,NFO,24-FEB-2026,26311.0,26311.0,26311.0,608270,Futures,NIFTY,0
26302.9,2025-12-19 12:50:00,NFO,24-FEB-2026,26311.0,26302.9,26311.0,608270,Futures,NIFTY,780
26302.9,2025-12-19 12:51:00,NFO,24-FEB-2026,26302.9,26302.9,26302.9,608270,Futures,NIFTY,0
26302.0,2025-12-19 12:52:00,NFO,24-FEB-2026,26302.9,26302.0,26302.9,608270,Futures,NIFTY,65
26302.0,2025-12-19 12:53:00,NFO,24-FEB-2026,26302.0,26302.0,26302.0,608270,Futures,NIFTY,0
26309.0,2025-12-19 12:54:00,NFO,24-FEB-2026,26309.0,26302.0,26302.0,608140,Futures,NIFTY,65
26308.0,2025-12-19 12:55:00,NFO,24-FEB-2026,26309.0,26308.0,26309.0,608140,Futures,NIFTY,130
26308.0,2025-12-19 12:56:00,NFO,24-FEB-2026,26310.0,26308.0,26308.0,608140,Futures,NIFTY,130
26308.0,2025-12-19 12:57:00,NFO,24-FEB-2026,26308.0,26308.0,26308.0,608140,Futures,NIFTY,0
26308.0,2025-12-19 12:58:00,NFO,24-FEB-2026,26308.0,26308.0,26308.0,608140,Futures,NIFTY,0
26308.0,2025-12-19 12:59:00,NFO,24-FEB-2026,26308.0,26308.0,26308.0,608140,Futures,NIFTY,0
26308.0,2025-12-19 13:00:00,NFO,24-FEB-2026,26308.0,26308.0,26308.0,608140,Futures,NIFTY,0
26306.0,2025-12-19 13:01:00,NFO,24-FEB-2026,26308.0,26306.0,26308.0,608205,Futures,NIFTY,130
26304.2,2025-12-19 13:02:00,NFO,24-FEB-2026,26306.0,26304.2,26306.0,608205,Futures,NIFTY,65
26304.2,2025-12-19 13:03:00,NFO,24-FEB-2026,26304.2,26304.2,26304.2,608205,Futures,NIFTY,0
26304.2,2025-12-19 13:04:00,NFO,24-FEB-2026,26304.2,26304.2,26304.2,608205,Futures,NIFTY,0
26304.2,2025-12-19 13:05:00,NFO,24-FEB-2026,26304.2,26304.2,26304.2,608205,Futures,NIFTY,0
26308.0,2025-12-19 13:06:00,NFO,24-FEB-2026,26308.0,26304.2,26304.2,608270,Futures,NIFTY,65
26306.0,2025-12-19 13:07:00,NFO,24-FEB-2026,26308.0,26306.0,26308.0,608270,Futures,NIFTY,65
26306.0,2025-12-19 13:08:00,NFO,24-FEB-2026,26306.0,26306.0,26306.0,608270,Futures,NIFTY,65
26305.0,2025-12-19 13:09:00,NFO,24-FEB-2026,26306.0,26305.0,26306.0,608270,Futures,NIFTY,715
26305.0,2025-12-19 13:10:00,NFO,24-FEB-2026,26305.0,26305.0,26305.0,608270,Futures,NIFTY,0
26300.5,2025-12-19 13:11:00,NFO,24-FEB-2026,26305.0,26300.5,26305.0,607685,Futures,NIFTY,65
26296.7,2025-12-19 13:12:00,NFO,24-FEB-2026,26302.0,26296.7,26300.5,607685,Futures,NIFTY,195
26297.2,2025-12-19 13:13:00,NFO,24-FEB-2026,26297.3,26296.7,26296.7,607685,Futures,NIFTY,195
26297.2,2025-12-19 13:14:00,NFO,24-FEB-2026,26297.2,26297.2,26297.2,607685,Futures,NIFTY,0
26297.2,2025-12-19 13:15:00,NFO,24-FEB-2026,26297.2,26297.2,26297.2,607685,Futures,NIFTY,0
26297.2,2025-12-19 13:16:00,NFO,24-FEB-2026,26297.2,26297.2,26297.2,607685,Futures,NIFTY,0
26297.2,2025-12-19 13:17:00,NFO,24-FEB-2026,26297.2,26293.4,26297.2,608010,Futures,NIFTY,130
26297.2,2025-12-19 13:18:00,NFO,24-FEB-2026,26297.2,26297.2,26297.2,608010,Futures,NIFTY,0
26297.2,2025-12-19 13:19:00,NFO,24-FEB-2026,26297.2,26297.2,26297.2,608010,Futures,NIFTY,0
26302.3,2025-12-19 13:20:00,NFO,24-FEB-2026,26302.3,26297.2,26297.2,608075,Futures,NIFTY,65
26302.3,2025-12-19 13:21:00,NFO,24-FEB-2026,26302.3,26302.3,26302.3,608075,Futures,NIFTY,0
26312.0,2025-12-19 13:22:00,NFO,24-FEB-2026,26312.0,26302.3,26302.3,608075,Futures,NIFTY,65
26312.0,2025-12-19 13:23:00,NFO,24-FEB-2026,26312.0,26312.0,26312.0,608075,Futures,NIFTY,650
26312.0,2025-12-19 13:24:00,NFO,24-FEB-2026,26312.0,26312.0,26312.0,608075,Futures,NIFTY,0
26308.0,2025-12-19 13:25:00,NFO,24-FEB-2026,26312.0,26308.0,26312.0,608010,Futures,NIFTY,130
26308.0,2025-12-19 13:26:00,NFO,24-FEB-2026,26308.0,26308.0,26308.0,608010,Futures,NIFTY,0
26308.0,2025-12-19 13:27:00,NFO,24-FEB-2026,26308.0,26308.0,26308.0,608010,Futures,NIFTY,0
26310.0,2025-12-19 13:28:00,NFO,24-FEB-2026,26310.0,26308.0,26308.0,608075,Futures,NIFTY,65
26311.9,2025-12-19 13:29:00,NFO,24-FEB-2026,26311.9,26309.6,26310.0,608075,Futures,NIFTY,260
