SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AJMERA,EQ,23-Apr-2026,125.45,124.0,127.56, 123.49,126.0,125.05,125.68,193747.0,243.5,2189.0, 86276, 44.53
AJOONI,EQ,23-Apr-2026,4.31,4.28,4.38, 4.27,4.38,4.36,4.33,246280.0,10.67,325.0, 215825, 87.63
AKASH,EQ,23-Apr-2026,27.5,29.0,29.0, 27.50,28.0,27.97,27.89,13355.0,3.72,120.0, 8922, 66.81
AKCAPIT,EQ,23-Apr-2026,1547.9,1547.9,1607.3, 1484.90,1546.95,1536.1,1512.23,1401.0,21.19,80.0, 1303, 93.00
AKG,EQ,23-Apr-2026,11.51,11.41,11.65, 11.31,11.6,11.6,11.54,10026.0,1.16,50.0, 6952, 69.34
AKI,EQ,23-Apr-2026,5.08,5.08,5.3, 5.00,5.14,5.11,5.15,69486.0,3.58,258.0, 55012, 79.17
AKIKO,ST,23-Apr-2026,234.85,227.0,227.0, 223.15,223.15,223.2,223.88,4800.0,10.75,6.0, 4800, 100.00
AKSHAR,EQ,23-Apr-2026,0.48,0.48,0.49, 0.48,0.48,0.48,0.48,957262.0,4.62,378.0, 779448, 81.42
AKSHARCHEM,EQ,23-Apr-2026,204.29,203.01,207.45, 201.01,205.0,204.06,203.8,2480.0,5.05,133.0, 1820, 73.39
AKSHOPTFBR,BE,23-Apr-2026,6.3,6.04,6.6, 6.01,6.55,6.53,6.2,488147.0,30.28,549.0, -, -
AKUMS,EQ,23-Apr-2026,528.75,526.0,547.45, 526.00,540.0,539.5,540.12,173334.0,936.22,6720.0, 88009, 50.77
ALANKIT,EQ,23-Apr-2026,9.36,9.3,9.33, 9.11,9.29,9.25,9.28,182310.0,16.93,520.0, 135861, 74.52
ALBERTDAVD,EQ,23-Apr-2026,742.75,739.0,743.15, ,,,,,,,,
