close,datetime,exchange_code,high,low,open,stock_code,volume
17969.55,2021-11-08 12:16:00,NSE,17970.95,17964.1,17964.35,NIFTY,751377
17967.85,2021-11-08 12:17:00,NSE,17974.15,17967.85,17969.85,NIFTY,604766
17967.35,2021-11-08 12:18:00,NSE,17971.8,17966.95,17967.6,NIFTY,1152129
17965.75,2021-11-08 12:19:00,NSE,17970.4,17961.75,17966.45,NIFTY,800095
17967.1,2021-11-08 12:20:00,NSE,17971.3,17964.85,17965.0,NIFTY,863141
17965.9,2021-11-08 12:21:00,NSE,17968.55,17963.0,17966.85,NIFTY,588791
17965.25,2021-11-08 12:22:00,NSE,17971.7,17963.6,17965.65,NIFTY,902261
17966.85,2021-11-08 12:23:00,NSE,17968.6,17963.85,17964.9,NIFTY,533013
17965.8,2021-11-08 12:24:00,NSE,17968.5,17964.45,17966.5,NIFTY,698548
17982.4,2021-11-08 12:25:00,NSE,17982.4,17962.85,17965.3,NIFTY,755940
17975.55,2021-11-08 12:26:00,NSE,17987.05,17975.55,17983.55,NIFTY,655634
17970.55,2021-11-08 12:27:00,NSE,17979.9,17966.8,17976.55,NIFTY,642692
17958.6,2021-11-08 12:28:00,NSE,17970.05,17954.6,17970.05,NIFTY,775212
17963.1,2021-11-08 12:29:00,NSE,17967.35,17956.2,17959.0,NIFTY,693024
17962.05,2021-11-08 12:30:00,NSE,17965.8,17960.6,17965.05,NIFTY,796598
17961.1,2021-11-08 12:31:00,NSE,17965.0,17960.05,17962.35,NIFTY,935909
17960.1,2021-11-08 12:32:00,NSE,17962.25,17958.55,17961.2,NIFTY,711022
17962.05,2021-11-08 12:33:00,NSE,17964.95,17959.3,17960.7,NIFTY,555780
17973.5,2021-11-08 12:34:00,NSE,17974.35,17962.6,17962.6,NIFTY,1011978
17972.6,2021-11-08 12:35:00,NSE,17974.05,17966.75,17974.05,NIFTY,530808
17969.35,2021-11-08 12:36:00,NSE,17973.55,17968.9,17971.95,NIFTY,1159084
17975.8,2021-11-08 12:37:00,NSE,17975.8,17968.35,17968.35,NIFTY,666975
17973.75,2021-11-08 12:38:00,NSE,17978.65,17973.75,17974.15,NIFTY,992388
17975.6,2021-11-08 12:39:00,NSE,17978.25,17973.35,17973.35,NIFTY,966891
17977.8,2021-11-08 12:40:00,NSE,17979.5,17973.4,17975.7,NIFTY,1197192
17972.85,2021-11-08 12:41:00,NSE,17979.1,17972.3,17977.55,NIFTY,908865
17973.35,2021-11-08 12:42:00,NSE,17975.75,17970.3,17971.75,NIFTY,724332
17977.05,2021-11-08 12:43:00,NSE,17977.05,17971.25,17973.4,NIFTY,1164067
17983.35,2021-11-08 12:44:00,NSE,17985.1,17976.8,17977.1,NIFTY,2570315
17992.6,2021-11-08 12:45:00,NSE,17994.5,17989.4,17989.8,NIFTY,1245308
17983.2,2021-11-08 12:46:00,NSE,17993.55,17982.65,17992.3,NIFTY,1419756
17983.65,2021-11-08 12:47:00,NSE,17984.25,17978.7,17983.25,NIFTY,2316262
17994.3,2021-11-08 12:48:00,NSE,17994.3,17982.8,17983.25,NIFTY,1577625
18005.65,2021-11-08 12:49:00,NSE,18008.15,17995.2,17995.2,NIFTY,1785876
18003.3,2021-11-08 12:50:00,NSE,18011.05,18002.95,18007.4,NIFTY,1220727
18002.0,2021-11-08 12:51:00,NSE,18005.25,18000.25,18004.45,NIFTY,1275531
18001.15,2021-11-08 12:52:00,NSE,18004.1,17998.1,18001.85,NIFTY,1020567
18016.2,2021-11-08 12:53:00,NSE,18016.7,17999.5,18000.85,NIFTY,1284368
18022.1,2021-11-08 12:54:00,NSE,18025.7,18016.05,18016.05,NIFTY,933267
18013.85,2021-11-08 12:55:00,NSE,18025.1,18011.9,18021.8,NIFTY,791416
18015.0,2021-11-08 12:56:00,NSE,18015.3,18009.4,18014.45,NIFTY,906007
18021.3,2021-11-08 12:57:00,NSE,18025.2,18012.3,18015.35,NIFTY,690784
18013.35,2021-11-08 12:58:00,NSE,18021.45,18009.55,18020.8,NIFTY,1705130
18012.75,2021-11-08 12:59:00,NSE,18013.15,18005.9,18013.15,NIFTY,530856
18006.7,2021-11-08 13:00:00,NSE,18013.8,18006.7,18013.8,NIFTY,870999
18008.65,2021-11-08 13:01:00,NSE,18010.9,18003.4,18007.25,NIFTY,607648
18015.5,2021-11-08 13:02:00,NSE,18015.95,18008.3,18008.6,NIFTY,623018
18022.0,2021-11-08 13:03:00,NSE,18022.0,18015.35,18015.35,NIFTY,553344
18029.2,2021-11-08 13:04:00,NSE,18033.15,18023.0,18023.5,NIFTY,995310
18032.5,2021-11-08 13:05:00,NSE,18035.8,18029.5,18031.5,NIFTY,625859
18028.85,2021-11-08 13:06:00,NSE,18040.6,18026.15,18033.45,NIFTY,562564
18022.3,2021-11-08 13:07:00,NSE,18028.7,18022.3,18028.7,NIFTY,554231
18029.45,2021-11-08 13:08:00,NSE,18031.3,18022.6,18022.6,NIFTY,547184
18032.85,2021-11-08 13:09:00,NSE,18033.4,18026.8,18029.3,NIFTY,905968
18026.05,2021-11-08 13:10:00,NSE,18033.55,18025.0,18033.55,NIFTY,541177
18017.7,2021-11-08 13:11:00,NSE,18029.15,18016.4,18025.65,NIFTY,521598
18020.95,2021-11-08 13:12:00,NSE,18025.45,18017.5,18018.4,NIFTY,521915
18027.45,2021-11-08 13:13:00,NSE,18029.1,18021.95,18022.65,NIFTY,1116398
18038.5,2021-11-08 13:14:00,NSE,18038.5,18025.1,18025.7,NIFTY,893750
18033.5,2021-11-08 13:15:00,NSE,18041.9,18032.15,18041.9,NIFTY,662537
18031.35,2021-11-08 13:16:00,NSE,18033.5,18026.45,18032.5,NIFTY,494349
18033.0,2021-11-08 13:17:00,NSE,18036.75,18028.9,18031.7,NIFTY,666735
18026.35,2021-11-08 13:18:00,NSE,18032.75,18026.35,18032.15,NIFTY,688445
18023.45,2021-11-08 13:19:00,NSE,18027.2,18023.05,18025.6,NIFTY,454010
18017.15,2021-11-08 13:20:00,NSE,18024.95,18017.15,18024.3,NIFTY,543239
18016.1,2021-11-08 13:21:00,NSE,18019.95,18010.5,18017.9,NIFTY,484481
18015.7,2021-11-08 13:22:00,NSE,18026.6,18015.55,18016.0,NIFTY,523993
